Data File Name,2100 expert_High Sensitivity DNA Assay_DE72901941_2012-02-21_17-32-30.xad
Data File Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\data\2012-02-21
Date Created,"Tuesday, February 21, 2012 8:32:30 AM"
Date Last Modified,"Tuesday, February 21, 2012 9:00:42 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,6
 
Sample Name,sample1
Number of Events,2121
 
Time,Value
43.4,15.75493
43.45,11.20341
43.5,8.973018
43.55,8.08309
43.6,7.731317
43.65,7.437503
43.7,7.073716
43.75,6.725337
43.8,6.40981
43.85,6.044374
43.9,5.608457
43.95,5.057212
44,4.650253
44.05,4.310253
44.1,4.097193
44.15,3.946127
44.2,3.757928
44.25,3.563322
44.3,3.257317
44.35,3.001832
44.4,2.813253
44.45,2.649992
44.5,2.525607
44.55,2.439272
44.6,2.255937
44.65,2.065277
44.7,1.936566
44.75,1.76405
44.8,1.578844
44.85,1.469753
44.9,1.494651
44.95,1.450638
45,1.440879
45.05,1.44276
45.1,1.324729
45.15,1.20042
45.2,1.193082
45.25,1.185945
45.3,1.142637
45.35,1.152116
45.4,1.163468
45.45,1.091408
45.5,1.111161
45.55,1.16762
45.6,1.143809
45.65,1.112821
45.7,1.226347
45.75,1.266038
45.8,1.248977
45.85,1.384082
45.9,1.647561
45.95,1.918273
46,2.248379
46.05,2.743068
46.1,3.392604
46.15,4.212093
46.2,5.177771
46.25,6.206456
46.3,7.046037
46.35,7.655422
46.4,8.063174
46.45,8.07234
46.5,7.724059
46.55,6.948498
46.6,5.936146
46.65,4.779425
46.7,3.684035
46.75,2.736181
46.8,1.912269
46.85,1.17467
46.9,0.4942888
46.95,2.949971E-02
47,-0.2554981
47.05,-0.4210059
47.1,-0.5207109
47.15,-0.649865
47.2,-0.8247496
47.25,-0.9746944
47.3,-1.019862
47.35,-0.97059
47.4,-1.003617
47.45,-1.098809
47.5,-1.126642
47.55,-1.183966
47.6,-1.150546
47.65,-1.134261
47.7,-1.157644
47.75,-1.20858
47.8,-1.268812
47.85,-1.239424
47.9,-1.173509
47.95,-1.034062
48,-0.9830869
48.05,-1.009473
48.1,-1.002793
48.15,-0.9869658
48.2,-0.968304
48.25,-0.9781333
48.3,-0.904085
48.35,-0.7768939
48.4,-0.7084998
48.45,-0.4868584
48.5,-0.351552
48.55,-0.2277953
48.6,-6.195921E-02
48.65,0.1327207
48.7,0.2508565
48.75,0.2428551
48.8,0.1383163
48.85,-1.368499E-02
48.9,-0.1090526
48.95,-0.2285794
49,-0.3772504
49.05,-0.5194731
49.1,-0.6737743
49.15,-0.817022
49.2,-0.9803287
49.25,-1.091515
49.3,-1.259959
49.35,-1.343736
49.4,-1.236789
49.45,-1.157485
49.5,-1.145973
49.55,-1.20213
49.6,-1.194345
49.65,-1.176686
49.7,-1.179405
49.75,-1.146474
49.8,-1.155439
49.85,-1.180201
49.9,-1.250288
49.95,-1.312926
50,-1.389321
50.05,-1.420124
50.1,-1.489587
50.15,-1.511482
50.2,-1.526157
50.25,-1.570814
50.3,-1.529976
50.35,-1.425591
50.4,-1.387245
50.45,-1.321136
50.5,-1.225301
50.55,-1.162703
50.6,-1.24658
50.65,-1.268034
50.7,-1.389916
50.75,-1.420371
50.8,-1.409361
50.85,-1.328407
50.9,-1.328919
50.95,-1.323032
51,-1.253127
51.05,-1.205084
51.1,-1.154534
51.15,-1.108354
51.2,-1.072928
51.25,-1.181506
51.3,-1.214942
51.35,-1.037974
